類別：所有類別

天,進擊的巨人: (台灣),工作細胞: (台灣)
2018-07-17,18,46
2018-07-18,23,42
2018-07-19,22,37
2018-07-20,28,38
2018-07-21,37,61
2018-07-22,66,89
2018-07-23,81,63
2018-07-24,60,57
2018-07-25,39,50
2018-07-26,36,52
2018-07-27,36,52
2018-07-28,36,54
2018-07-29,59,100
2018-07-30,68,55
2018-07-31,48,49
2018-08-01,49,40
2018-08-02,44,43
2018-08-03,43,43
2018-08-04,55,53
2018-08-05,63,86
2018-08-06,78,44
2018-08-07,60,35
2018-08-08,58,35
2018-08-09,46,34
2018-08-10,34,33
2018-08-11,47,47
2018-08-12,51,69
2018-08-13,73,36
2018-08-14,46,38
2018-08-15,34,39
