類別：所有類別

天,紅血球: (台灣),血小板: (台灣)
2018-07-18,10,69
2018-07-19,13,60
2018-07-20,8,55
2018-07-21,8,48
2018-07-22,10,100
2018-07-23,4,85
2018-07-24,17,69
2018-07-25,7,44
2018-07-26,9,47
2018-07-27,9,59
2018-07-28,5,41
2018-07-29,5,70
2018-07-30,9,74
2018-07-31,7,73
2018-08-01,9,71
2018-08-02,11,40
2018-08-03,10,53
2018-08-04,9,49
2018-08-05,9,60
2018-08-06,10,42
2018-08-07,15,57
2018-08-08,13,42
2018-08-09,7,44
2018-08-10,11,36
2018-08-11,13,25
2018-08-12,8,42
2018-08-13,12,40
2018-08-14,6,27
2018-08-15,13,35
